id;entity_type;entity_id;payload;status;retry_count;created_at_utc;last_attempt_utc
41;location;f83aaf96-9bf2-4c0f-95be-d01d48c2924f_1770718570115_28.603956_77.426626;{"event_type":"LOCATION_POINT","tracking_session_id":"f83aaf96-9bf2-4c0f-95be-d01d48c2924f","latitude":28.6039559,"longitude":77.4266256,"accuracy":19.624000549316406,"speed":7.980000019073486,"timestamp_utc":"2026-02-10T10:16:10.115841Z"};FAILED;1;2026-02-10T10:16:10.128270Z;
42;location;f83aaf96-9bf2-4c0f-95be-d01d48c2924f_1770718580116_28.603704_77.425517;{"event_type":"LOCATION_POINT","tracking_session_id":"f83aaf96-9bf2-4c0f-95be-d01d48c2924f","latitude":28.6037044,"longitude":77.4255174,"accuracy":11.36299991607666,"speed":11.739999771118164,"timestamp_utc":"2026-02-10T10:16:20.116126Z"};FAILED;1;2026-02-10T10:16:20.135329Z;
43;location;f83aaf96-9bf2-4c0f-95be-d01d48c2924f_1770718590116_28.603377_77.424662;{"event_type":"LOCATION_POINT","tracking_session_id":"f83aaf96-9bf2-4c0f-95be-d01d48c2924f","latitude":28.6033773,"longitude":77.4246619,"accuracy":8.307999610900879,"speed":6.75,"timestamp_utc":"2026-02-10T10:16:30.116526Z"};FAILED;1;2026-02-10T10:16:30.131712Z;
44;location;f83aaf96-9bf2-4c0f-95be-d01d48c2924f_1770718600128_28.603305_77.424229;{"event_type":"LOCATION_POINT","tracking_session_id":"f83aaf96-9bf2-4c0f-95be-d01d48c2924f","latitude":28.6033047,"longitude":77.4242289,"accuracy":18.54599952697754,"speed":6.579999923706055,"timestamp_utc":"2026-02-10T10:16:40.128039Z"};FAILED;1;2026-02-10T10:16:40.142653Z;
45;location;f83aaf96-9bf2-4c0f-95be-d01d48c2924f_1770718610121_28.603118_77.423370;{"event_type":"LOCATION_POINT","tracking_session_id":"f83aaf96-9bf2-4c0f-95be-d01d48c2924f","latitude":28.603118,"longitude":77.42337,"accuracy":13.185999870300293,"speed":7.210000038146973,"timestamp_utc":"2026-02-10T10:16:50.121817Z"};FAILED;1;2026-02-10T10:16:50.132707Z;
46;location;f83aaf96-9bf2-4c0f-95be-d01d48c2924f_1770718620111_28.602930_77.422580;{"event_type":"LOCATION_POINT","tracking_session_id":"f83aaf96-9bf2-4c0f-95be-d01d48c2924f","latitude":28.6029297,"longitude":77.4225798,"accuracy":9.069999694824219,"speed":8.479999542236328,"timestamp_utc":"2026-02-10T10:17:00.111758Z"};FAILED;1;2026-02-10T10:17:00.125124Z;
47;location;f83aaf96-9bf2-4c0f-95be-d01d48c2924f_1770718630123_28.602535_77.421565;{"event_type":"LOCATION_POINT","tracking_session_id":"f83aaf96-9bf2-4c0f-95be-d01d48c2924f","latitude":28.6025348,"longitude":77.421565,"accuracy":16.267000198364258,"speed":10.239999771118164,"timestamp_utc":"2026-02-10T10:17:10.123217Z"};FAILED;1;2026-02-10T10:17:10.143586Z;
48;location;f83aaf96-9bf2-4c0f-95be-d01d48c2924f_1770718640111_28.602234_77.420421;{"event_type":"LOCATION_POINT","tracking_session_id":"f83aaf96-9bf2-4c0f-95be-d01d48c2924f","latitude":28.6022341,"longitude":77.4204205,"accuracy":18.274999618530273,"speed":12.350000381469727,"timestamp_utc":"2026-02-10T10:17:20.111862Z"};FAILED;1;2026-02-10T10:17:20.132521Z;
49;location;f83aaf96-9bf2-4c0f-95be-d01d48c2924f_1770718650120_28.601997_77.419381;{"event_type":"LOCATION_POINT","tracking_session_id":"f83aaf96-9bf2-4c0f-95be-d01d48c2924f","latitude":28.6019975,"longitude":77.4193812,"accuracy":8.428999900817871,"speed":10.359999656677246,"timestamp_utc":"2026-02-10T10:17:30.120975Z"};FAILED;1;2026-02-10T10:17:30.132546Z;
50;location;f83aaf96-9bf2-4c0f-95be-d01d48c2924f_1770718659138_28.601720_77.418224;{"event_type":"LOCATION_POINT","tracking_session_id":"f83aaf96-9bf2-4c0f-95be-d01d48c2924f","latitude":28.60172,"longitude":77.4182241,"accuracy":8.291000366210938,"speed":14.170000076293945,"timestamp_utc":"2026-02-10T10:17:39.138689Z"};FAILED;1;2026-02-10T10:17:39.150084Z;
